MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,deleteMusics,83,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:admin_can_delete_a_date()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,deleteMusics,84,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:admin_can_delete_a_date()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,getById,50,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:test_that_logged_in_user_can_get_by_id_when_the_id_exists()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteMusics$1,82,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:admin_tries_to_delete_non_existant_musics_and_gets_right_error_message()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$getById$0,48,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:test_that_logged_in_user_can_get_by_id_when_the_id_does_not_exist()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$updateMusics$2,95,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:admin_cannot_edit_musics_that_does_not_exist()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMusic,66,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:an_admin_user_can_post_a_new_musics()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMusic,67,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:an_admin_user_can_post_a_new_musics()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMusic,68,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:an_admin_user_can_post_a_new_musics()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMusic,69,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:an_admin_user_can_post_a_new_musics()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,postMusic,73,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:an_admin_user_can_post_a_new_musics()]
MusicController.java,edu.ucsb.cs156.example.controllers.MusicController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,updateMusics,98,KILLED,edu.ucsb.cs156.example.controllers.MusicControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.MusicControllerTests]/[method:admin_can_edit_an_existing_musics()]
